gx, gy, speedX, speedY, speedZ
-25.00, -25.00, -0.27, 1.00, -0.73
-25.00, -23.00, -0.27, 1.00, -0.73
-25.00, -21.00, -0.27, 1.00, -0.73
-25.00, -19.00, -0.25, 0.99, -0.73
-25.00, -17.00, -0.22, 0.95, -0.73
-25.00, -15.00, -0.18, 0.92, -0.73
-25.00, -13.00, -0.15, 0.88, -0.73
-25.00, -11.00, -0.10, 0.84, -0.73
-25.00, -9.00, -0.06, 0.79, -0.73
-25.00, -7.00, -0.01, 0.74, -0.73
-25.00, -5.00, 0.05, 0.68, -0.73
-25.00, -3.00, 0.12, 0.61, -0.73
-25.00, -1.00, 0.22, 0.51, -0.73
-25.00, 1.00, 0.51, 0.22, -0.73
-25.00, 3.00, 0.61, 0.12, -0.73
-25.00, 5.00, 0.68, 0.05, -0.73
-25.00, 7.00, 0.74, -0.01, -0.73
-25.00, 9.00, 0.79, -0.06, -0.73
-25.00, 11.00, 0.84, -0.10, -0.73
-25.00, 13.00, 0.88, -0.15, -0.73
-25.00, 15.00, 0.92, -0.18, -0.73
-25.00, 17.00, 0.95, -0.22, -0.73
-25.00, 19.00, 0.99, -0.25, -0.73
-25.00, 21.00, 1.00, -0.27, -0.73
-25.00, 23.00, 1.00, -0.27, -0.73
-23.00, -25.00, -0.27, 1.00, -0.73
-23.00, -23.00, -0.27, 1.00, -0.73
-23.00, -21.00, -0.27, 1.00, -0.73
-23.00, -19.00, -0.25, 0.99, -0.73
-23.00, -17.00, -0.22, 0.95, -0.73
-23.00, -15.00, -0.18, 0.92, -0.73
-23.00, -13.00, -0.15, 0.88, -0.73
-23.00, -11.00, -0.10, 0.84, -0.73
-23.00, -9.00, -0.06, 0.79, -0.73
-23.00, -7.00, -0.01, 0.74, -0.73
-23.00, -5.00, 0.05, 0.68, -0.73
-23.00, -3.00, 0.12, 0.61, -0.73
-23.00, -1.00, 0.22, 0.51, -0.73
-23.00, 1.00, 0.51, 0.22, -0.73
-23.00, 3.00, 0.61, 0.12, -0.73
-23.00, 5.00, 0.68, 0.05, -0.73
-23.00, 7.00, 0.74, -0.01, -0.73
-23.00, 9.00, 0.79, -0.06, -0.73
-23.00, 11.00, 0.84, -0.10, -0.73
-23.00, 13.00, 0.88, -0.15, -0.73
-23.00, 15.00, 0.92, -0.18, -0.73
-23.00, 17.00, 0.95, -0.22, -0.73
-23.00, 19.00, 0.99, -0.25, -0.73
-23.00, 21.00, 1.00, -0.27, -0.73
-23.00, 23.00, 1.00, -0.27, -0.73
-21.00, -25.00, -0.27, 1.00, -0.73
-21.00, -23.00, -0.27, 1.00, -0.73
-21.00, -21.00, -0.27, 1.00, -0.73
-21.00, -19.00, -0.25, 0.99, -0.73
-21.00, -17.00, -0.22, 0.95, -0.73
-21.00, -15.00, -0.18, 0.92, -0.73
-21.00, -13.00, -0.15, 0.88, -0.73
-21.00, -11.00, -0.10, 0.84, -0.73
-21.00, -9.00, -0.06, 0.79, -0.73
-21.00, -7.00, -0.01, 0.74, -0.73
-21.00, -5.00, 0.05, 0.68, -0.73
-21.00, -3.00, 0.12, 0.61, -0.73
-21.00, -1.00, 0.22, 0.51, -0.73
